,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,46.5,46.2,46.3,46.3,46.4,46.3,46.4,42.1,13.9,7,0,0,0,0,0,0,0,0,0,0
1,46.5,46.6,46.4,47.1,46.4,46.5,46.6,46.2,12,7.5,0,0,0,0,0,0,0,0,0,0
2,46.6,46.7,46.3,46.4,46.2,46.7,46.8,12.5,8.6,6.6,0,0,0,0,0,0,0,0,0,0
3,45.7,45.8,45.6,45.8,45.7,45.9,46.2,45.9,15.3,7.2,0,0,0,0,0,0,0,0,0,0
4,46.1,46,46.1,46.4,46.6,46.4,46.5,15.3,8.2,6.7,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,25.2,41.1,44.6,45.8,46,45.8,46,45.9,45.9,45.7
6,0,0,0,0,0,0,0,0,0,0,14.5,39.1,44.8,45.8,46,45.8,46.1,45.4,45.7,45.8
7,0,0,0,0,0,0,0,0,0,0,6.8,35.8,43.4,45.3,45.5,45.7,46,45.9,45.5,45.9
8,0,0,0,0,0,0,0,0,0,0,31.2,43.1,45.8,46.1,46.2,46.3,46.2,46.3,46.2,46.2
9,0,0,0,0,0,0,0,0,0,0,32.6,44.4,46.2,46.6,46.4,46.6,47,46.8,46.4,46.4
10,267.7,267.8,267.8,267.7,267.4,267.8,267.4,267.5,186,25.2,0,0,0,0,0,0,0,0,0,0
11,266.1,266,266.1,266,266.1,266.3,265.8,266,137,18.6,0,0,0,0,0,0,0,0,0,0
12,265.2,265.2,265.1,265.4,265.4,265.2,264.9,264.4,73.5,10,0,0,0,0,0,0,0,0,0,0
13,265.5,264.9,265.1,264.9,264.7,265.1,265,265.1,78.8,10.8,0,0,0,0,0,0,0,0,0,0
14,265,264.8,264.8,265,264.6,265.1,264.7,264.8,56.1,12.6,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,116.8,256.5,272.5,275.7,275.5,274.8,274.1,274.1,273.5,273.2
16,0,0,0,0,0,0,0,0,0,0,21.1,219,258.8,267.1,269.2,269.1,269.2,268.8,268.9,268.7
17,0,0,0,0,0,0,0,0,0,0,14.5,183.7,256.7,266.3,267.5,267.5,267.3,267,266.7,267
18,0,0,0,0,0,0,0,0,0,0,16,22.8,204.6,259.1,265.4,267,266.7,266.7,266.8,266.3
19,0,0,0,0,0,0,0,0,0,0,23.9,201.2,258.4,265.5,266.9,266.9,266.5,266.2,266.1,265.6
20,1367.3448,1367.2648,1367.2048,1366.8448,1366.5248,1366.7048,1366.7448,835.9648,168.1648,26.6048,0,0,0,0,0,0,0,0,0,0
21,1372.6,1371.7,1371.2,1371.9,1371.4,1371.7,1370.9,1254.3,177,39.6,0,0,0,0,0,0,0,0,0,0
22,1369.2,1368.9,1368.8,1368.7,1368.2,1368.1,1368.3,1368.7,321.7,43.4,0,0,0,0,0,0,0,0,0,0
23,1372.9,1372.9,1372.6,1373,1371.6,1372.3,1372.1,791.6,107.2,24.2,0,0,0,0,0,0,0,0,0,0
24,1372.6,1372.7,1372.9,1373.6,1372.6,1372.4,1371.8,906.4,122.7,27.4,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,936.6848,1313.8648,1386.0248,1393.8248,1393.9248,1392.9248,1391.9048,1390.3448,1389.0848,1387.8648
26,0,0,0,0,0,0,0,0,0,0,171.8,1231.7,1362.1,1390.4,1395.3,1395,1393,1391.5,1390.3,1388.9
27,0,0,0,0,0,0,0,0,0,0,735.3,1310,1386.6,1394.2,1395.6,1395.1,1393.1,1392,1389.5,1388.3
28,0,0,0,0,0,0,0,0,0,0,519.5,1204.4,1355.9,1391.3,1396,1395.1,1393,1391.1,1389.2,1387.9
29,0,0,0,0,0,0,0,0,0,0,1023.7,1316.3,1387.5,1395.4,1395.3,1394.5,1394.6,1392.2,1390.4,1389.4
30,88.9602,89.0602,89.1202,89.2002,89.0402,89.1202,89.1202,89.1002,89.0802,20.0402,0,0,0,0,0,0,0,0,0,0
31,87.9,88,87.8,87.7,87.6,87.8,87.8,87.9,62.3,14.1,0,0,0,0,0,0,0,0,0,0
32,88.2,88.3,88.4,88.1,88.2,88,88.2,88,37.9,8.7,0,0,0,0,0,0,0,0,0,0
33,88,88.2,88.4,88.6,88.2,88.5,88.4,88.4,88.3,19.7,0,0,0,0,0,0,0,0,0,0
34,88.8,88.8,88.9,88.9,88.8,88.7,88.6,88.7,88.5,27.9,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,13.2402,49.2602,117.7202,104.9802,92.1402,89.8402,89.2002,89.0402,89.1002,88.9602
36,0,0,0,0,0,0,0,0,0,0,120.9,103.5,91.8,89.3,88.9,88.7,88.7,88.7,88.7,89
37,0,0,0,0,0,0,0,0,0,0,10.9,105.2,112.5,92,89.6,89.1,89.1,88.9,88.8,88.7
38,0,0,0,0,0,0,0,0,0,0,6.8,7.4,106.4,128.5,94.2,90.3,89.5,89.3,89.1,89.1
39,0,0,0,0,0,0,0,0,0,0,8.9,109.3,126.1,94,90,89.8,89.5,89.4,89.1,89.4
